"created_at","id_str","text","retweet_count","favorite_count"
"Sun Dec 06 22:34:48 +0000 2015","673631705379434497","Experiences are more important than products now. In fact, #CX are products.  https://t.co/iId8ibviTv",29,21
"Tue Dec 01 05:40:33 +0000 2015","671564522566508544","Hundreds of fake ads totally skewer corporate sponsors of Paris climate talks https://t.co/EY0p59PxZp via @mashable",29,24
"Mon Feb 22 17:11:42 +0000 2016","701816649352028162","If You’re not an Experience, You’re not a Brand. https://t.co/IWRMHE2erG",28,27
"Mon Jan 18 17:39:35 +0000 2016","689140089423699970","The Future of Retail: Stop Iterating and Start Innovating https://t.co/pxOpvPNiLT https://t.co/F2KHNQxMfl",28,22
"Wed Dec 09 18:54:57 +0000 2015","674663542700683265","Glassdoor: Airbnb dethrones Google as the best tech company to work for in the U.S. https://t.co/1kFkDESRHF via @VentureBeat",28,15
"Sun Jan 17 18:36:14 +0000 2016","688791959675092993","Airbus to join forces with Uber for on-demand helicopter service, CEO says    https://t.co/bCG3ctRJjj via @WSJ",27,19
"Sun Nov 29 18:01:15 +0000 2015","671026148332072961","Slow is the new fast. Less is the new more. Happiness is the new success.  #qotd https://t.co/xoskYnJZxd",27,27
"Mon Feb 22 04:37:44 +0000 2016","701626905091448832","If You’re not an Experience, You’re not a Brand. Period. https://t.co/IWRMHE2erG https://t.co/ks1tK2ZcPG",26,28
"Fri Jan 08 15:33:13 +0000 2016","685484409881923584","26 Disruptive &amp; Technology Trends 2016 - 2018 https://t.co/YGf3pisyBA via @SlideShare",26,22
"Tue Dec 01 21:47:33 +0000 2015","671807875866497024","Guest post by @TasRobert, ""True Customer Centricity Requires the Merging of Marketing and IT"" https://t.co/eFV5jan6Aw",26,15
"Tue Feb 09 17:49:33 +0000 2016","697115129364611072","Ignorance + Arrogance = Irrelevance  https://t.co/qOYJcExTEk",25,26
"Sun Nov 15 17:50:29 +0000 2015","665950009381130240","Innovation not iteration. Digital 1st not 2nd. Empathy not sympathy. https://t.co/mkbrrINEFx",25,34
"Mon Nov 09 14:58:56 +0000 2015","663732511478972420","Sometimes the simplest of moments are the most meaningful experiences... https://t.co/sovhXS6Wk8 https://t.co/8FfMc8rjrR",25,38
"Mon Feb 29 20:14:38 +0000 2016","704399398873096192","Don’t let the name #digitaltransformation fool you. Technology alone isn’t the answer. https://t.co/AAQ7kSWwyW",24,30
"Sat Feb 06 20:41:55 +0000 2016","696071345948332032","Experience is key and there will be “an Uber of every industry"" https://t.co/f6860cL13j",24,19
"Sat Nov 14 16:14:05 +0000 2015","665563362634240000","A new social media adage...U before G and C.
Users 1st
Content 2nd
Relevant + productive content is the result. https://t.co/w7B9mQ0aQP",24,23
"Mon Feb 22 16:35:28 +0000 2016","701807530154954752","8 Success Factors of Digital Transformation [Report] https://t.co/Pl51D7BSrN",23,17
"Thu Feb 11 07:41:03 +0000 2016","697686772382355456","""#RIPTwitter: What Would an Algorithmic Timeline Mean for Users and Brands?"" by @setlinger https://t.co/sJxj4IRHrg",23,22
"Thu Jan 14 15:37:56 +0000 2016","687659925330378752","Why Chief Digital Officers Must Invest in Experiences Over Products and Technology - https://t.co/s85TkG5qfg",23,12
"Mon Dec 07 20:27:24 +0000 2015","673962030609510400","Why a Strong Brand Matters in the Collaborative Economy https://t.co/qZOKGzzXkk by @jowyang",23,10
"Thu Nov 19 21:53:40 +0000 2015","667460761187291136","“Experiences are more important than products now. In fact, experiences are products.” via @800ceoread https://t.co/xHff23FT5Q #XtheBook",23,16
"Tue Feb 23 03:34:31 +0000 2016","701973384759013376","29-year-old millennial rips 25-year-old @Yelp employee who got fired over her salary https://t.co/QNCTWk77Nd by @StefWilliams25",22,36
"Sun Feb 21 15:57:06 +0000 2016","701435485890019328","If You’re not an Experience, You’re not a Brand. Period. w/@manueldiaz https://t.co/IWRMHE2erG",22,26
"Sun Feb 21 15:57:06 +0000 2016","701435485890019328","If You’re not an Experience, You’re not a Brand. Period. w/@manueldiaz https://t.co/IWRMHE2erG",22,26
"Tue Jan 12 14:13:39 +0000 2016","686913938978672640","Customer Experience is the Sum of Emotional Reactions https://t.co/Cfdyoth4NI via @YouTube",22,16
"Sun Jan 10 23:51:01 +0000 2016","686334458912346112","Elon Musk: In 2 years your car will be able to drive from New York to LA to find you https://t.co/YU6BbUHH6g via @clusterstock",22,14
"Sat Jan 09 17:43:08 +0000 2016","685879490644320256","""Customer Experience is an Emotion"" via @neocom_de https://t.co/CfdyotyFFg https://t.co/FZJrPW2H2T",22,20
"Sun Nov 22 19:56:15 +0000 2015","668518372389310464","It's not just about millennials #productivity. 5 reasons Millennials aren't answering your phone call @theRyanJenks https://t.co/L76NV2Fva8",22,15
